Requirement,Department,Department Code,Number of Courses,Year
Scientific Method and Analysis,Materials Science & Engineer,MATSCI,17,2023-2024
Formal Reasoning,Materials Science & Engineer,MATSCI,0,2023-2024
Applied Quantitative Reasoning,Materials Science & Engineer,MATSCI,3,2023-2024
Ethical Reasoning,Materials Science & Engineer,MATSCI,0,2023-2024
Social Inquiry,Mechanical Engineering,ME,0,2023-2024
Exploring Difference and Power,Mechanical Engineering,ME,0,2023-2024
Aesthetic and Interpretive Inquiry,Mechanical Engineering,ME,0,2023-2024
Creative Expression,Mechanical Engineering,ME,2,2023-2024
Scientific Method and Analysis,Mechanical Engineering,ME,1,2023-2024
Formal Reasoning,Mechanical Engineering,ME,0,2023-2024
Applied Quantitative Reasoning,Mechanical Engineering,ME,3,2023-2024
Ethical Reasoning,Mechanical Engineering,ME,0,2023-2024
Social Inquiry,Scientific Computing & Comput'l Math,SCCM,0,2023-2024
Exploring Difference and Power,Scientific Computing & Comput'l Math,SCCM,0,2023-2024
Aesthetic and Interpretive Inquiry,Scientific Computing & Comput'l Math,SCCM,0,2023-2024
Creative Expression,Scientific Computing & Comput'l Math,SCCM,0,2023-2024
Scientific Method and Analysis,Scientific Computing & Comput'l Math,SCCM,0,2023-2024
Formal Reasoning,Scientific Computing & Comput'l Math,SCCM,0,2023-2024
Applied Quantitative Reasoning,Scientific Computing & Comput'l Math,SCCM,0,2023-2024
Ethical Reasoning,Scientific Computing & Comput'l Math,SCCM,0,2023-2024
Social Inquiry,African & African American Studies,AFRICAAM,12,2023-2024
Exploring Difference and Power,African & African American Studies,AFRICAAM,25,2023-2024
Aesthetic and Interpretive Inquiry,African & African American Studies,AFRICAAM,13,2023-2024
Creative Expression,African & African American Studies,AFRICAAM,4,2023-2024
Scientific Method and Analysis,African & African American Studies,AFRICAAM,0,2023-2024
Formal Reasoning,African & African American Studies,AFRICAAM,0,2023-2024
Applied Quantitative Reasoning,African & African American Studies,AFRICAAM,0,2023-2024
Ethical Reasoning,African & African American Studies,AFRICAAM,0,2023-2024
Social Inquiry,African & Middle Eastern Languages,AMELANG,0,2023-2024
Exploring Difference and Power,African & Middle Eastern Languages,AMELANG,0,2023-2024
Aesthetic and Interpretive Inquiry,African & Middle Eastern Languages,AMELANG,0,2023-2024
Creative Expression,African & Middle Eastern Languages,AMELANG,0,2023-2024
Scientific Method and Analysis,African & Middle Eastern Languages,AMELANG,0,2023-2024
Formal Reasoning,African & Middle Eastern Languages,AMELANG,0,2023-2024
Applied Quantitative Reasoning,African & Middle Eastern Languages,AMELANG,0,2023-2024
Ethical Reasoning,African & Middle Eastern Languages,AMELANG,0,2023-2024
Social Inquiry,African Studies,AFRICAST,1,2023-2024
Exploring Difference and Power,African Studies,AFRICAST,2,2023-2024
Aesthetic and Interpretive Inquiry,African Studies,AFRICAST,2,2023-2024
Creative Expression,African Studies,AFRICAST,0,2023-2024
Scientific Method and Analysis,African Studies,AFRICAST,0,2023-2024
Formal Reasoning,African Studies,AFRICAST,0,2023-2024
Applied Quantitative Reasoning,African Studies,AFRICAST,0,2023-2024
Ethical Reasoning,African Studies,AFRICAST,0,2023-2024
Social Inquiry,American Studies,AMSTUD,27,2023-2024
Exploring Difference and Power,American Studies,AMSTUD,22,2023-2024
Aesthetic and Interpretive Inquiry,American Studies,AMSTUD,26,2023-2024
Creative Expression,American Studies,AMSTUD,2,2023-2024
Scientific Method and Analysis,American Studies,AMSTUD,0,2023-2024
Formal Reasoning,American Studies,AMSTUD,0,2023-2024
Applied Quantitative Reasoning,American Studies,AMSTUD,0,2023-2024
Ethical Reasoning,American Studies,AMSTUD,1,2023-2024
Social Inquiry,Anthropology,ANTHRO,27,2023-2024
Exploring Difference and Power,Anthropology,ANTHRO,14,2023-2024
Aesthetic and Interpretive Inquiry,Anthropology,ANTHRO,7,2023-2024
Creative Expression,Anthropology,ANTHRO,1,2023-2024
Scientific Method and Analysis,Anthropology,ANTHRO,3,2023-2024
Formal Reasoning,Anthropology,ANTHRO,0,2023-2024
Applied Quantitative Reasoning,Anthropology,ANTHRO,2,2023-2024
Ethical Reasoning,Anthropology,ANTHRO,0,2023-2024
Social Inquiry,Applied Physics,APPPHYS,0,2023-2024
Exploring Difference and Power,Applied Physics,APPPHYS,0,2023-2024
Aesthetic and Interpretive Inquiry,Applied Physics,APPPHYS,0,2023-2024
Creative Expression,Applied Physics,APPPHYS,0,2023-2024
Scientific Method and Analysis,Applied Physics,APPPHYS,4,2023-2024
