Department,Requirement,2014-2015,2015-2016,2016-2017,2023-2024,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023
ITALIAN,WAY-CE,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
ITALIAN,WAY-EDP,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0
ITALIAN,WAY-ER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ITALIAN,WAY-SI,1.0,1.0,3.0,7.0,3.0,5.0,4.0,4.0,5.0,7.0
JAPAN,WAY-A-II,,,7.0,17.0,7.0,9.0,13.0,15.0,16.0,16.0
JAPAN,WAY-CE,,,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
JAPAN,WAY-EDP,,,4.0,5.0,2.0,2.0,3.0,3.0,3.0,4.0
JAPAN,WAY-ER,,,0.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0
JAPAN,WAY-SI,,,2.0,4.0,1.0,2.0,3.0,3.0,3.0,4.0
JEWISHST,WAY-A-II,9.0,9.0,10.0,21.0,13.0,14.0,15.0,18.0,22.0,25.0
JEWISHST,WAY-CE,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
JEWISHST,WAY-EDP,14.0,15.0,16.0,24.0,13.0,12.0,15.0,19.0,22.0,25.0
JEWISHST,WAY-ER,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0
JEWISHST,WAY-SI,10.0,12.0,12.0,27.0,10.0,10.0,14.0,19.0,22.0,25.0
KOREA,WAY-A-II,,,5.0,10.0,6.0,6.0,8.0,11.0,11.0,10.0
KOREA,WAY-EDP,,,4.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0
KOREA,WAY-ER,,,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
KOREA,WAY-SI,,,1.0,3.0,3.0,3.0,2.0,5.0,5.0,3.0
LINGUIST,WAY-A-II,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINGUIST,WAY-AQR,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
LINGUIST,WAY-EDP,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0
LINGUIST,WAY-FR,5.0,6.0,6.0,9.0,5.0,9.0,9.0,9.0,9.0,9.0
